FileName,HttpMethod,Path
AdminController.java,BASE,/api/admin
AuditLogController.java,BASE,/api/admin/audit-logs
AuthController.java,BASE,/api/auth
UserController.java,BASE,/api/users
InvoiceController.java,BASE,/api/billing/invoices
SubscriptionController.java,BASE,/api/billing/subscriptions
ChatController.java,BASE,/api/chat
AdminCourseController.java,BASE,/api/admin/courses
AdminCuratorController.java,BASE,/api/admin/curators
AdminMediaController.java,BASE,/api/admin/media
CourseMediaController.java,BASE,/api/courses/media
CuratorCourseController.java,BASE,/api/curator
LearnerCourseController.java,BASE,/api/courses
CalendarController.java,BASE,/api/crm/calendar
ClientController.java,BASE,/api/crm/clients
CrmEmployeeController.java,BASE,/api/crm/employees
DashboardController.java,BASE,/api/crm/dashboard
ExportController.java,BASE,/api/crm/export
PipelineController.java,BASE,/api/crm/pipelines
TaskController.java,BASE,/api/crm/tasks
UserLabelController.java,BASE,/api/crm/labels
DocumentController.java,BASE,/api/documents
DocumentTemplateController.java,BASE,/api/document-templates
ContactRequestController.java,BASE,/api/contact-requests
NotificationController.java,BASE,/api/notifications
GlobalSearchController.java,BASE,/api/search
ServiceController.java,BASE,/api/services
